2016-01-12 16:05:21.439 DEBUG /api/mobile/GetStoreNoticeList:  参数:[{"storeid":"16","":["",""]}]
2016-01-12 16:05:35.071 DEBUG /api/mobile/GetStoreNoticeList:  参数:[{"usercode":"1003"}]
2016-01-12 16:12:34.504 DEBUG /api/mobile/GetStoreNoticeList:  参数:[{"usercode":"1003"}]
2016-01-12 16:12:55.457 DEBUG /api/mobile/GetStoreNoticeList:  参数:[{"usercode":"1002"}]
2016-01-12 16:13:16.401 DEBUG /api/mobile/GetStoreNoticeList:  参数:[{"usercode":"1002"}]
2016-01-12 16:13:39.974 DEBUG /api/mobile/GetStoreNoticeList:  参数:[{"usercode":"1004"}]
2016-01-12 16:14:24.751 DEBUG /api/mobile/GetStoreNoticeList:  参数:[{"usercode":"1004"}]
2016-01-12 16:28:14.859 DEBUG /api/mobile/GetStoreNoticeList:  参数:[{"usercode":"1004"}]
2016-01-12 16:29:09.950 DEBUG /api/mobile/GetStoreNoticeList:  参数:[{"usercode":"1004"}]
2016-01-12 16:29:37.667 DEBUG /api/mobile/GetStoreNoticeList:  参数:[{"usercode":"1004"}]
2016-01-12 16:30:03.469 DEBUG /api/mobile/GetStoreNoticeNum:  参数:[{"usercode":"1004"}]
2016-01-12 16:30:34.108 DEBUG /api/mobile/GetStoreNoticeNum:  参数:[{"usercode":"1004"}]
2016-01-12 16:30:54.963 DEBUG /api/mobile/GetStoreNoticeNum:  参数:[{"usercode":"1004"}]
2016-01-12 16:31:16.227 DEBUG /api/mobile/GetStoreNoticeNum:  参数:[{"usercode":"1004"}]
2016-01-12 16:31:30.461 DEBUG /api/mobile/GetStoreNoticeNum:  参数:[{"usercode":"1004"}]
2016-01-12 16:31:53.326 DEBUG /api/mobile/GetOrderNotApproveNum:  参数:[{"usercode":"1004"}]
2016-01-12 16:35:06.740 DEBUG /api/mobile/GetSupplierNotDeliveyNum:  参数:[{"usercode":"1004"}]
2016-01-12 16:36:35.400 DEBUG /api/mobile/GetSupplierNotDeliveyNum:  参数:[{"usercode":"1004"}]
2016-01-12 16:37:12.828 DEBUG /api/mobile/GetSupplierNotDeliveyNum:  参数:[{"supplierid":"b83f434fc7f84494a858737bc595d3ca"}]
2016-01-12 16:37:23.696 DEBUG /api/mobile/GetSupplierNotDeliveyNum:  参数:[{"supplierid":"b83f434fc7f84494a858737bc595d3ca4"}]
2016-01-12 16:39:19.024 DEBUG /api/mobile/GetSupplierNotDeliveyNum:  参数:[{"supplierid":"b83f434fc7f84494a858737bc595d3ca4"}]
2016-01-12 16:39:27.561 DEBUG /api/mobile/GetSupplierNotDeliveyNum:  参数:[{"supplierid":""}]
2016-01-12 16:39:59.511 DEBUG /api/mobile/GetSupplierNotDeliveyNum:  参数:[{"supplierid":""}]
2016-01-12 16:40:30.656 DEBUG /api/mobile/GetSupplierNotDeliveyNum:  参数:[{"supplierid":""}]
2016-01-12 16:41:46.224 DEBUG /api/mobile/GetSupplierNotDeliveyNum:  参数:[{"supplierid":"b83f434fc7f84494a858737bc595d3ca4"}]
2016-01-12 16:43:28.919 DEBUG /api/mobile/GetStoreNoticeList:  参数:[{"usercode":"1004"}]
2016-01-12 17:04:45.377 DEBUG /api/mobile/GetOrderApproveList:  参数:[{"date":"2015-12"}]
2016-01-12 17:05:00.256 DEBUG /api/mobile/GetOrderApproveList:  参数:[{"date":"2016-1"}]
2016-01-12 17:17:31.671 DEBUG /api/mobile/GetOrderApproveList:  参数:[{"date":"2016-1"}]
2016-01-12 17:19:28.606 DEBUG /api/mobile/GetOrderApproveList:  参数:[{"date":"2016-1"}]
